125023;Hifi;Bose Mini;199;Facile a transporter;8
125024;Electromenager;Frigo Phillips;459;Fraicheur garantie;2
125025;Hifi;JBL Charge 3;119;Bonnes basses;7
125026;Informatique;IPAD;409;Finitions haute gamme;12
125027;Hifi;TV Led Samsung;1399;Smart TV / Resolution 4K UHD;3
125028;Electromenager;Lave linge Hublot Samsung;399;Classe energetique : A++;4
125029;Electromenager;Lave Vaisselle Siemens;649;Depart differe : 24h / Couverts : 14;4
125030;Hifi;Casque Bose QC35;378;Connexion(s) : Bluetooth, NFC / Autonomie : 20h;6
125031;Telephonie;Iphone 7 RED;879;Etanche IP67 / Memoire : 128 Go / Photos : 12 megapixels;15
125032;Gaming;Console PS4;299;Capacite : 500 Go / Couleur : Noir;7
125033;Gaming;PC Gamer HP OMEN;799;Taille : 15,6 pouces / Processeur : Intel Core i5 / Memoire vive : 6 Go;4
125034;Informatique;Cle USB Sandisk;32;Norme : USB 2.0 / Capacite : 64 Go;37
125035;Hifi;VideoProjecteur BenQ;769;3D Ready / Resolution : 1920 x 1080 pixels / Luminosite : 2200 Lumens;2
125036;Gaming;Console Xbox One S;299;Capacite : 500 Go / Couleur : Blanche;9
125037;Informatique;Imprimante 3D XYZ Printing;398;Plateau chauffant : Non / Volume impression : 15 x 15 x 15 cm;1
125038;Telephonie;Samsung Galaxy S8+;909;Ecran 6,2 pouces avec bords incurves / Memoire : 64 Go;13
125039;Electromenager;Climatiseur Whirlpool;499;Puissance frigorifique : 2800 watts / Preconise pour une surface : 15 a 20 m2;1
